Primary Breed,Description,LeeListing,Num2011,Num2013,Num2015,Total
TIBETAN SPANIEL,Tibetan Spaniel,Tibetan Spaniel,33,26,29,88
TIBETAN TERRIER,Tibetan Terrier,Tibetan Terrier,68,53,52,173
TOSA,Tosa,.na,2,4,1,7
TOY FOX TERRIER,Toy Fox Terrier,.na,25,19,21,65
TREE WALKER CH,Treeing Walker Coonhound,.na,42,52,50,144
VIZSLA,Vizsla,Vizsla,263,244,264,771
WEIMARANER,Weimaraner,Weimaraner,235,220,190,645
WELSH CORGI CARIGAN,Welsh Corgi - Cardigan,Cardigan Welsh Corgi,63,55,75,193
WELSH CORGI PEMBROKE,Welsh Corgi - Pembroke,.na,107,107,120,334
WELSH SPR SPAN,Welsh Springer Spaniel,Welsh Springer Spaniel,28,25,25,78
WELSH TERRIER,Welsh Terrier,Welsh Terrier,56,51,53,160
WEST HIGHLAND WT,West Highland White Terrier,West Highland White Terrier,703,622,611,1936
WHIPPET,Whippet,Whippet,153,161,179,493
WIRE HAIRED PT GRIFFON,Wire-haired Pointing Griffon,Wirehaired Pointing Griffon,15,13,15,43
WOLF HYBRID,Wolf hybrid,.na,0,0,2,2
YORKSHIRE TERR,Yorkshire Terrier,Yorkshire Terrier,1793,1658,1837,5288
